iter	Passed	Remaining
0	0	769
1	1	698
2	2	685
3	2	697
4	3	694
5	4	683
6	4	694
7	5	690
8	6	680
9	6	678
10	7	676
11	8	668
12	8	666
13	9	660
14	9	655
15	10	650
16	11	650
17	12	660
18	12	658
19	13	656
20	13	651
21	14	648
22	15	646
23	15	644
24	16	645
25	17	641
26	17	640
27	18	637
28	18	634
29	19	631
30	20	629
31	20	627
32	21	624
33	21	623
34	22	622
35	23	620
36	23	619
37	24	617
38	24	615
39	25	613
40	26	613
41	26	612
42	27	611
43	28	610
44	28	612
45	29	612
46	30	612
47	30	612
48	31	610
49	32	609
50	32	609
51	33	607
52	33	606
53	34	608
54	35	606
55	35	606
56	36	605
57	37	603
58	37	603
59	38	602
60	39	602
61	39	602
62	40	600
63	41	599
64	41	600
65	42	598
66	42	597
67	43	597
68	44	595
69	44	594
70	45	593
71	46	594
72	46	593
73	47	592
74	48	592
75	48	591
76	49	591
77	50	591
78	50	592
79	51	591
80	52	590
81	52	590
82	53	589
83	53	588
84	54	588
85	55	586
86	55	586
87	56	585
88	56	583
89	57	582
90	58	580
91	58	580
92	59	579
93	60	579
94	60	578
95	61	577
96	61	576
97	62	576
98	63	575
99	63	575
100	64	574
101	65	573
102	65	573
103	66	572
104	67	572
105	67	572
106	68	571
107	69	570
108	69	569
109	70	567
110	70	566
111	71	565
112	71	564
113	72	563
114	73	563
115	73	562
116	74	561
117	75	561
118	75	560
119	76	560
120	77	559
121	77	558
122	78	557
123	78	557
124	79	556
125	80	555
126	80	555
127	81	555
128	82	554
129	82	553
130	83	553
131	84	552
132	84	551
133	85	551
134	85	550
135	86	549
136	87	549
137	87	548
138	88	547
139	88	546
140	89	545
141	90	545
142	90	544
143	91	544
144	92	543
145	92	542
146	93	542
147	94	541
148	94	540
149	95	539
150	95	538
151	96	537
152	97	537
153	97	536
154	98	536
155	98	534
156	99	534
157	100	533
158	100	532
159	101	532
160	101	531
161	102	530
162	103	530
163	103	529
164	104	529
165	105	528
166	105	527
167	106	526
168	106	525
169	107	525
170	108	524
171	108	523
172	109	523
173	110	522
174	110	521
175	111	521
176	111	520
177	112	519
178	113	518
179	113	517
180	114	517
181	114	516
182	115	515
183	116	514
184	116	514
185	117	513
186	117	512
187	118	511
188	119	511
189	119	511
190	120	510
191	121	509
192	121	508
193	122	508
194	122	507
195	123	506
196	124	506
197	124	505
198	125	504
199	126	504
200	126	503
201	127	503
202	127	502
203	128	501
204	129	500
205	129	499
206	130	499
207	131	499
208	131	498
209	132	497
210	132	496
211	133	495
212	134	495
213	134	495
214	135	494
215	136	493
216	136	492
217	137	492
218	137	491
219	138	491
220	139	490
221	139	489
222	140	489
223	140	488
224	141	487
225	142	486
226	142	485
227	143	485
228	143	484
229	144	483
230	145	483
231	145	482
232	146	482
233	147	481
234	147	480
235	148	479
236	148	478
237	149	478
238	149	477
239	150	476
240	151	475
241	151	474
242	152	474
243	152	473
244	153	472
245	153	471
246	154	471
247	155	470
248	155	470
249	156	469
250	157	468
251	157	468
252	158	467
253	158	466
254	159	466
255	160	465
256	160	464
257	161	463
258	161	462
259	162	462
260	162	461
261	163	460
262	164	460
263	164	459
264	165	458
265	165	457
266	166	456
267	167	456
268	167	455
269	168	454
270	168	453
271	169	452
272	169	452
273	170	451
274	170	450
275	171	449
276	172	449
277	172	448
278	173	448
279	174	447
280	174	446
281	175	446
282	175	445
283	176	444
284	176	443
285	177	442
286	177	442
287	178	441
288	179	441
289	179	440
290	180	439
291	181	439
292	181	438
293	182	437
294	182	437
295	183	436
296	184	435
297	184	434
298	185	433
299	185	433
300	186	432
301	186	431
302	187	430
303	187	430
304	188	429
305	188	428
306	189	427
307	190	426
308	190	426
309	191	425
310	191	424
311	192	424
312	192	423
313	193	422
314	193	421
315	194	421
316	195	420
317	195	419
318	196	418
319	196	417
320	197	417
321	197	416
322	198	415
323	198	414
324	199	414
325	199	413
326	200	412
327	200	411
328	201	410
329	202	410
330	202	409
331	203	408
332	203	408
333	204	407
334	204	406
335	205	405
336	205	405
337	206	404
338	207	403
339	207	402
340	208	402
341	208	401
342	209	400
343	209	400
344	210	399
345	210	398
346	211	397
347	211	397
348	212	396
349	213	395
350	213	394
351	214	394
352	214	393
353	215	392
354	215	391
355	216	391
356	216	390
357	217	389
358	217	388
359	218	388
360	218	387
361	219	386
362	219	386
363	220	385
364	221	384
365	221	383
366	222	383
367	222	382
368	223	381
369	223	380
370	224	380
371	224	379
372	225	378
373	225	377
374	226	377
375	226	376
376	227	375
377	228	375
378	228	374
379	229	373
380	229	373
381	230	372
382	230	371
383	231	370
384	231	370
385	232	369
386	232	368
387	233	368
388	233	367
389	234	366
390	234	365
391	235	365
392	236	364
393	236	363
394	237	363
395	237	362
396	238	361
397	238	361
398	239	360
399	240	360
400	240	359
401	241	358
402	241	358
403	242	357
404	242	356
405	243	355
406	243	355
407	244	354
408	244	353
409	245	352
410	245	352
411	246	351
412	246	351
413	247	350
414	247	349
415	248	348
416	249	348
417	249	347
418	250	346
419	250	346
420	251	345
421	251	344
422	252	344
423	252	343
424	253	342
425	253	341
426	254	341
427	254	340
428	255	340
429	256	339
430	256	338
431	257	338
432	257	337
433	258	336
434	258	336
435	259	335
436	259	334
437	260	333
438	260	333
439	261	332
440	261	332
441	262	331
442	263	330
443	263	330
444	264	329
445	264	328
446	265	328
447	265	327
448	266	326
449	266	326
450	267	325
451	267	324
452	268	324
453	268	323
454	269	322
455	269	322
456	270	321
457	271	320
458	271	320
459	272	319
460	272	318
461	273	318
462	273	317
463	274	316
464	274	316
465	275	315
466	276	315
467	276	314
468	277	314
469	277	313
470	278	312
471	279	312
472	279	311
473	280	310
474	280	310
475	281	309
476	281	308
477	282	308
478	282	307
479	283	306
480	283	306
481	284	305
482	284	304
483	285	304
484	285	303
485	286	303
486	287	302
487	287	301
488	288	301
489	288	300
490	289	299
491	289	299
492	290	298
493	290	297
494	291	297
495	291	296
496	292	295
497	292	295
498	293	294
499	293	293
500	294	293
501	295	292
502	295	292
503	296	291
504	296	290
505	297	290
506	297	289
507	298	288
508	298	288
509	299	287
510	299	287
511	300	286
512	301	285
513	301	285
514	302	284
515	302	283
516	303	283
517	303	282
518	304	281
519	304	281
520	305	280
521	305	280
522	306	279
523	306	278
524	307	278
525	308	277
526	308	276
527	309	276
528	309	275
529	310	275
530	310	274
531	311	273
532	311	273
533	312	272
534	312	271
535	313	271
536	313	270
537	314	269
538	314	269
539	315	268
540	315	268
541	316	267
542	317	266
543	317	266
544	318	265
545	318	264
546	319	264
547	319	263
548	320	263
549	320	262
550	321	261
551	322	261
552	322	260
553	323	260
554	323	259
555	324	258
556	324	258
557	325	257
558	325	257
559	326	256
560	326	255
561	327	255
562	327	254
563	328	253
564	329	253
565	329	252
566	330	252
567	330	251
568	331	250
569	331	250
570	332	249
571	332	249
572	333	248
573	333	247
574	334	247
575	335	246
576	335	246
577	336	245
578	336	244
579	337	244
580	337	243
581	338	243
582	338	242
583	339	241
584	339	241
585	340	240
586	340	239
587	341	239
588	342	238
589	342	238
590	343	237
591	343	236
592	344	236
593	344	235
594	345	235
595	345	234
596	346	233
597	347	233
598	347	232
599	348	232
600	348	231
601	349	230
602	349	230
603	350	229
604	350	229
605	351	228
606	351	227
607	352	227
608	352	226
609	353	225
610	353	225
611	354	224
612	354	224
613	355	223
614	356	222
615	356	222
616	357	221
617	357	221
618	358	220
619	358	219
620	359	219
621	359	218
622	360	217
623	360	217
624	361	216
625	361	216
626	362	215
627	362	214
628	363	214
629	363	213
630	364	213
631	364	212
632	365	211
633	366	211
634	366	210
635	367	210
636	367	209
637	368	208
638	368	208
639	369	207
640	369	207
641	370	206
642	370	205
643	371	205
644	371	204
645	372	204
646	373	203
647	373	202
648	374	202
649	374	201
650	375	201
651	375	200
652	376	199
653	376	199
654	377	198
655	378	198
656	378	197
657	379	197
658	379	196
659	380	195
660	380	195
661	381	194
662	381	194
663	382	193
664	383	192
665	383	192
666	384	191
667	384	191
668	385	190
669	385	190
670	386	189
671	386	188
672	387	188
673	387	187
674	388	187
675	389	186
676	389	185
677	390	185
678	390	184
679	391	184
680	391	183
681	392	182
682	392	182
683	393	181
684	393	181
685	394	180
686	395	179
687	395	179
688	396	178
689	396	178
690	397	177
691	397	176
692	398	176
693	398	175
694	399	175
695	399	174
696	400	174
697	400	173
698	401	172
699	401	172
700	402	171
701	402	171
702	403	170
703	404	169
704	404	169
705	405	168
706	405	168
707	406	167
708	406	166
709	407	166
710	407	165
711	408	165
712	408	164
713	409	163
714	409	163
715	410	162
716	410	162
717	411	161
718	412	161
719	412	160
720	413	159
721	413	159
722	414	158
723	414	158
724	415	157
725	415	156
726	416	156
727	416	155
728	417	155
729	417	154
730	418	154
731	418	153
732	419	152
733	420	152
734	420	151
735	421	151
736	421	150
737	422	149
738	422	149
739	423	148
740	423	148
741	424	147
742	424	146
743	425	146
744	425	145
