Entity,Code,Day,Training computation (petaFLOP),Domain
(ensemble): AWD-LSTM-DOC (fin) × 5 (WT2),,2018-08-30,693,Language
2-layer-LSTM+Deep-Gradient-Compression,,2017-12-05,1.34,Language
3D city reconstruction,,2009-09-29,,Other
4 layer QRNN (h=2500),,2018-03-22,240.00002,Language
6-Act Tether,,2021-08-03,,Other
6-layer MLP (MNIST),,2010-03-01,0.131,Vision
A3C FF hs,,2016-02-04,,Games
ADALINE,,1960-06-30,9.9e-12,Vision
ADAM (CIFAR-10),,2014-12-22,60.5,Vision
ADM,,2021-05-11,500000.03,Drawing
ALBERT,,2019-09-26,,Language
ALBERT-xxlarge,,2020-02-09,2390000,Language
ALIGN,,2021-06-11,215000020,Multimodal
ALM 1.0,,2022-11-28,,Language
ALVINN,,1989-12-01,0.0000812,Other
AMDIM,,2019-06-03,,Drawing
AR-LDM,,2022-11-20,510000,Multimodal
ASE+ACE,,1983-09-01,,Games
AWD-LSTM,,2017-07-18,,Language
AWD-LSTM + MoS + Partial Shuffled,,2019-06-10,328,Language
AWD-LSTM - 3-layer LSTM (tied) + continuous cache pointer (WT2),,2017-08-07,309.00003,Language
AWD-LSTM+WT+Cache+IOG (WT2),,2017-09-26,3.3100002,Language
AWD-LSTM-DRILL + dynamic evaluation† (WT2),,2019-05-14,424,Language
"AWD-LSTM-MoS + dynamic evaluation (WT2, 2017)",,2017-11-10,437,Language
"AWD-LSTM-MoS + dynamic evaluation (WT2, 2018)",,2018-09-18,,Language
AWD-LSTM-MoS+PDR + dynamic evaluation (WT2),,2018-08-14,,Language
Adaptive Input Transformer + RD,,2021-06-28,82000,Language
Adaptive Inputs + LayerDrop,,2019-09-25,,Language
Adaptive Subgrad,,2011-10-03,,Not specified
Advantage Learning,,2015-12-15,,Games
Agent57,,2020-03-30,,Games
AlexNet,,2012-09-30,470,Vision
AlexaTM 20B,,2022-08-02,204000000,Language
AlphaCode,,2022-02-02,405000000,Language
AlphaFold,,2020-01-15,100000,Other
AlphaFold 2,,2020-11-30,2990000,Other
AlphaGo Fan,,2015-10-01,380000.03,Games
AlphaGo Lee,,2016-01-27,1900000,Games
AlphaGo Master,,2017-01-01,150000000,Games
AlphaGo Zero,,2017-10-18,341000000,Games
AlphaStar,,2019-10-30,202000020,Games
AlphaX-1,,2019-10-02,7600,Vision
AlphaZero,,2017-12-05,36700000,Games
AltCLIP,,2022-11-12,,Multimodal
AmoebaNet-A (F=190),,2018-02-05,,Vision
AmoebaNet-A (F=448),,2018-02-05,385000,Vision
Ankh,,2023-01-18,,Language
BART-large,,2019-10-29,,Language
BASIC-L,,2021-11-19,83000000,Vision
BASIC-L + Lion,,2023-02-13,,Vision
BERT-Large,,2018-10-11,285000,Language
BERT-Large-CAS (PTB+WT2+WT103),,2019-04-20,521000.03,Language
BLOOM,,2022-11-08,180000000,Language
BLSTM for handwriting (1),,2007-09-23,,Vision
BLSTM for handwriting (2),,2007-12-03,,Vision
BLUUMI,,2023-11-03,,Language
BOXES,,1968-07-01,,Games
BPE,,2015-08-31,,Language
BPL,,2015-12-11,,Drawing
Back-propagation,,1986-10-01,1.24e-7,Other
Base LM + kNN LM + Continuous Cache,,2019-11-01,7300.0005,Language
BatchNorm,,2015-06-15,,Not specified
Bayesian automated hyperparameter tuning,,2012-12-02,,Not specified
BellKor 2007,,2009-09-21,,Recommendation
BellKor 2008,,2009-08-01,,Recommendation
BellKor 2009,,2009-08-01,,Recommendation
BiLSTM for Speech,,2005-08-01,0.024100002,Speech
Bidirectional RNN,,1997-11-01,,Speech
Big Transfer (BiT-L),,2019-12-24,,Vision
Big-Little Net,,2018-07-10,,Vision
BigBiGAN,,2019-07-04,,Drawing
BigChaos 2008,,2008-11-25,,Recommendation
BigChaos OptiBlend,,2009-08-01,,Recommendation
BigGAN-deep 512x512,,2018-09-28,3000000,Drawing
BigSSL,,2021-01-10,,Speech
Binarized Neural Network (MNIST),,2016-03-17,,Vision
BloombergGPT,,2023-03-30,236000020,Language
Boss (DARPA Urban Challenge),,2008-07-23,,Other
ByT5-XXL,,2021-05-28,81000000,Language
CICERO,,2022-11-22,,Games
