Entity,Code,Year,"Indicator:Alcohol, heavy episodic drinking (15+), drinkers only, past 30 days (%) - Sex:Both sexes"
Afghanistan,AFG,2016,2
Albania,ALB,2016,44.7
Algeria,DZA,2016,19.3
Andorra,AND,2016,40.5
Angola,AGO,2016,81.6
Antigua and Barbuda,ATG,2016,47.2
Argentina,ARG,2016,32.5
Armenia,ARM,2016,40.3
Australia,AUS,2016,45.3
Austria,AUT,2016,42.5
Azerbaijan,AZE,2016,36.9
Bahamas,BHS,2016,43.5
Bahrain,BHR,2016,29.5
Bangladesh,BGD,2016,36.8
Barbados,BRB,2016,46.9
Belarus,BLR,2016,34.1
Belgium,BEL,2016,42.1
Belize,BLZ,2016,47.3
Benin,BEN,2016,37.3
Bhutan,BTN,2016,37.8
Bolivia,BOL,2016,46.5
Bosnia and Herzegovina,BIH,2016,41.8
Botswana,BWA,2016,59.4
Brazil,BRA,2016,48.1
Brunei,BRN,2016,30.6
Bulgaria,BGR,2016,50.6
Burkina Faso,BFA,2016,46.3
Burundi,BDI,2016,52.6
Cambodia,KHM,2016,37.3
Cameroon,CMR,2016,47.4
Canada,CAN,2016,32.9
Cape Verde,CPV,2016,41.9
Central African Republic,CAF,2016,77.3
Chad,TCD,2016,34.8
Chile,CHL,2016,32
China,CHN,2016,40.7
Colombia,COL,2016,39.9
Comoros,COM,2016,6.7
Congo,COG,2016,82.6
Cook Islands,COK,2016,81
Costa Rica,CRI,2016,38
Cote d'Ivoire,CIV,2016,46.6
Croatia,HRV,2016,46.3
Cuba,CUB,2016,43.4
Cyprus,CYP,2016,40.8
Czechia,CZE,2016,55.9
Democratic Republic of Congo,COD,2016,77.1
Denmark,DNK,2016,40
Djibouti,DJI,2016,40.8
Dominica,DMA,2016,47.1
Dominican Republic,DOM,2016,46.1
East Timor,TLS,2016,30.3
Ecuador,ECU,2016,45.8
Egypt,EGY,2016,18.5
El Salvador,SLV,2016,34.8
Equatorial Guinea,GNQ,2016,88.1
Eritrea,ERI,2016,42.9
Estonia,EST,2016,57.4
Eswatini,SWZ,2016,60
Ethiopia,ETH,2016,45.2
Fiji,FJI,2016,62.4
Finland,FIN,2016,39
France,FRA,2016,41.5
Gabon,GAB,2016,86.2
Gambia,GMB,2016,38.1
Georgia,GEO,2016,47
Germany,DEU,2016,43.1
Ghana,GHA,2016,36.2
Greece,GRC,2016,36.1
Grenada,GRD,2016,50.8
Guatemala,GTM,2016,35
Guinea,GIN,2016,33.4
Guinea-Bissau,GNB,2016,39.5
Guyana,GUY,2016,45.7
Haiti,HTI,2016,44.1
Honduras,HND,2016,37.3
Hungary,HUN,2016,50.3
Iceland,ISL,2016,39.2
India,IND,2016,44.4
Indonesia,IDN,2016,28.6
Iran,IRN,2016,4.1
Iraq,IRQ,2016,20.1
Ireland,IRL,2016,46.5
Israel,ISR,2016,31.1
Italy,ITA,2016,32.6
Jamaica,JAM,2016,40.8
Japan,JPN,2016,40
Jordan,JOR,2016,19.8
Kazakhstan,KAZ,2016,49.2
Kenya,KEN,2016,46
Kiribati,KIR,2016,57.9
Kuwait,KWT,2016,4.1
Kyrgyzstan,KGZ,2016,44.4
Laos,LAO,2016,43.8
Latvia,LVA,2016,59
Lebanon,LBN,2016,20.2
Lesotho,LSO,2016,50.8
Liberia,LBR,2016,41.3
Libya,LBY,2016,2.1
Lithuania,LTU,2016,62.3
Luxembourg,LUX,2016,52.7
Madagascar,MDG,2016,43.5
Malawi,MWI,2016,46.6
Malaysia,MYS,2016,31.2
Maldives,MDV,2016,4.6
Mali,MLI,2016,34.3
Malta,MLT,2016,34.7
Mauritania,MRT,2016,4.3
Mauritius,MUS,2016,32.4
Mexico,MEX,2016,42.5
Micronesia (country),FSM,2016,62.4
Moldova,MDA,2016,40.9
Mongolia,MNG,2016,48.7
Montenegro,MNE,2016,45.2
Morocco,MAR,2016,17.7
Mozambique,MOZ,2016,43.7
Myanmar,MMR,2016,33.4
