Entity,Code,Year,New AI PhD graduates
Academia,,2010,72
Academia,,2011,63
Academia,,2012,47
Academia,,2013,51
Academia,,2014,43
Academia,,2015,42
Academia,,2016,63
Academia,,2017,60
Academia,,2018,73
Academia,,2019,65
Academia,,2020,61
Academia,,2021,84
Government,,2010,6
Government,,2011,7
Government,,2012,6
Government,,2013,7
Government,,2014,8
Government,,2015,4
Government,,2016,4
Government,,2017,2
Government,,2018,3
Government,,2019,4
Government,,2020,5
Government,,2021,2
Industry,,2010,76
Industry,,2011,64
Industry,,2012,101
Industry,,2013,74
Industry,,2014,85
Industry,,2015,77
Industry,,2016,134
Industry,,2017,116
Industry,,2018,162
Industry,,2019,180
Industry,,2020,153
Industry,,2021,195
