Entity,Code,Year,Annual number of industrial robots installed in the world 2011-2021,Operational stock of industrial robots
World,OWID_WRL,2019,391000,2740000
World,OWID_WRL,2020,394000,3035000
World,OWID_WRL,2021,517000,3477000
World,OWID_WRL,2011,166000,1153000
World,OWID_WRL,2012,159000,1235000
World,OWID_WRL,2013,178000,1332000
World,OWID_WRL,2014,221000,1472000
World,OWID_WRL,2015,254000,1632000
World,OWID_WRL,2016,304000,1838000
World,OWID_WRL,2017,400000,2125000
World,OWID_WRL,2018,423000,2441000
