x,y,shot
95,242,1
129,43,0
20,10,0
-127,239,0
-13,14,1
30,252,1
168,208,0
130,17,1
9,21,0
-2,264,0
-74,256,0
-8,15,0
110,45,1
-75,241,1
1,22,1
7,20,1
45,257,0
-210,145,0
226,12,0
233,37,0
196,120,1
-221,144,0
149,209,0
-17,16,1
-133,275,1
-103,236,1
-159,221,0
127,101,0
29,9,1
-117,227,0
192,184,1
171,197,0
-11,15,0
239,17,1
3,115,0
-39,260,1
-56,167,1
-143,221,0
79,251,0
-100,232,1
89,237,1
22,250,1
-47,13,0
-4,-1,0
-171,184,0
-14,257,1
-227,10,0
90,273,0
-4,3,1
60,246,1
-4,6,1
154,148,1
-168,174,0
174,199,0
-102,224,0
-233,-5,1
-59,232,0
32,19,1
-228,26,0
180,187,0
179,173,1
-19,123,1
76,44,1
-100,267,0
206,137,0
155,157,1
123,233,0
-19,58,0
-8,6,1
-116,231,0
-209,142,0
79,165,1
-3,18,0
160,206,0
-226,111,1
-3,24,1
174,19,0
-13,17,1
30,111,0
-222,-13,1
164,234,1
-156,214,0
-9,272,0
-146,215,0
5,27,1
-90,243,1
-226,126,0
-1,120,1
-7,22,1
-229,112,0
-5,25,1
-61,127,1
98,247,0
120,237,1
145,206,0
-68,248,0
140,260,0
231,10,0
-171,193,0
-16,11,0
232,-8,0
5,20,0
111,255,1
-130,219,1
51,287,0
189,168,1
13,8,1
-205,46,1
-100,226,1
4,18,0
-2,25,1
130,54,1
223,117,0
8,15,1
-8,11,1
2,341,0
68,124,1
88,241,1
-6,274,0
-8,11,1
-19,16,0
-123,226,0
-229,-8,0
-231,-25,1
134,207,1
-221,39,0
163,186,0
-77,257,0
76,244,1
-5,17,1
7,19,0
-233,8,1
-35,135,1
154,201,1
-165,206,1
12,257,1
218,120,0
70,22,0
3,24,1
87,239,1
229,75,1
98,231,1
7,30,1
35,159,1
-18,0,0
-92,63,0
55,212,0
-3,13,1
-158,104,0
-71,243,0
-21,169,0
109,66,1
36,99,0
170,203,0
163,189,1
236,26,1
-140,226,0
-237,42,1
80,233,1
201,153,0
-1,252,0
114,84,1
-131,226,1
-112,111,0
-84,280,0
-7,79,0
-194,13,0
-1,104,0
26,259,0
-8,34,1
58,247,0
-229,125,0
-128,222,1
-6,24,0
98,121,1
-190,167,0
94,242,0
0,34,0
-119,47,1
-103,221,0
6,20,0
-116,229,1
16,115,1
-92,169,0
-128,134,0
-7,259,0
129,220,1
-5,8,0
14,259,0
49,216,1
-163,215,1
-67,127,1
130,220,0
96,-12,1
-155,195,0
7,150,1
116,236,0
-15,19,0
-231,-16,0
-205,145,1
-103,129,0
190,162,0
58,260,1
-157,136,1
-108,150,0
-3,174,1
-18,264,0
-197,199,1
-67,249,0
138,215,0
-78,257,1
-136,224,0
65,137,0
-6,16,0
100,268,0
-42,74,0
100,180,0
-129,232,0
-136,216,0
4,5,1
-121,217,1
-192,153,0
193,159,0
127,211,0
102,202,0
25,12,1
128,-17,0
136,239,0
-55,173,1
-123,146,1
-163,145,0
-121,148,1
-40,65,0
-11,144,1
1,296,0
-155,207,0
-7,127,0
-94,257,0
88,194,1
-140,229,1
72,193,1
94,232,1
141,241,1
105,150,0
106,266,1
142,218,0
83,138,1
120,253,0
-35,206,1
5,21,1
-96,106,0
40,256,1
51,240,1
207,150,0
-200,152,0
-230,1,0
96,140,1
-47,242,1
16,0,1
-179,143,0
-19,7,1
67,25,0
-13,189,1
221,13,0
201,141,0
29,142,1
-35,25,1
-203,149,1
3,-10,1
-115,137,0
-229,86,0
62,154,0
-7,0,1
166,179,1
5,138,1
119,164,0
13,270,0
226,92,0
-225,81,1
-6,12,1
-10,5,1
9,8,0
182,164,0
152,199,0
1,3,1
88,185,1
131,3,0
83,250,1
-19,11,1
141,217,0
146,201,1
46,154,1
-110,289,0
-5,13,1
-224,8,1
-29,280,1
-18,260,0
10,15,1
-24,17,1
171,193,1
107,251,0
-16,1,1
35,130,0
100,242,0
-225,-1,0
-9,285,0
-155,226,0
172,211,0
18,16,0
136,148,0
-82,247,0
22,106,0
-232,15,0
-83,374,0
-28,291,0
-7,31,0
-115,147,1
141,142,1
-111,215,0
49,222,1
20,8,1
112,153,0
-226,-15,0
40,283,1
-226,84,1
-161,211,0
-4,251,0
-101,-10,0
141,103,1
