Entity,Code,Year,World,European Union and United Kingdom,China,United States
AI ventures,,2017,705626292,34720055,233168581,404163765
AI ventures,,2018,1539250299,30321937,591347599,857474812
AI ventures,,2019,1212544984,15388467,93042361,962517568
AI ventures,,2020,1545821073,5170265,91954563,1358836062
AI ventures,,2021,2379370717,1013359242,258977775,923024967
AI ventures,,2022,1242838005,14814431,451988999,641729703
Agricultural technology,,2017,309478503,7554717,10391318,261846503
Agricultural technology,,2018,280024054,33194058,0,194254290
Agricultural technology,,2019,502672339,116117865,18018197,283437548
Agricultural technology,,2020,686735808,25459779,7959031,624487776
Agricultural technology,,2021,1351178581,469886955,0,838525337
Agricultural technology,,2022,810137282,76739673,95402811,509921645
Augmented or virtual reality,,2017,313686338,28642184,156899836,107616472
Augmented or virtual reality,,2018,275692462,12374424,84634037,128817829
Augmented or virtual reality,,2019,2010578008,26381135,144117027,1828406138
Augmented or virtual reality,,2020,604180040,5170265,0,473757808
Augmented or virtual reality,,2021,642504609,30000000,61833873,546899354
Augmented or virtual reality,,2022,2214330335,60016045,13332988,1912898173
Cybersecurity,,2017,2477972877,211647287,799646679,895792147
Cybersecurity,,2018,4071620825,172523985,583572923,1918326970
Cybersecurity,,2019,4110878261,161192831,1962121344,1713555083
Cybersecurity,,2020,3798115473,352707616,519832488,2821490011
Cybersecurity,,2021,4077164559,85748120,1063167893,2810270650
Cybersecurity,,2022,4978670210,217439686,992985857,3578690067
Data management,,2017,4009032159,275908858,1069262050,2301763527
Data management,,2018,5281227419,183793071,1671044273,3132928239
Data management,,2019,6724363615,227069721,1136812833,4196778524
Data management,,2020,6662235896,323175209,1277545545,4627080938
Data management,,2021,9309790185,1242036553,2134058648,5486092409
Data management,,2022,5423724972,219221105,1727359990,2894398654
Drones,,2017,83470232,2847899,0,70120469
Drones,,2018,287005367,23039043,3104257,215519404
Drones,,2019,164010526,43125635,15898409,32483547
Drones,,2020,316193385,12558964,0,83082266
Drones,,2021,613408194,0,30800000,414659796
Drones,,2022,1745272701,39090208,25925254,1483572636
Educational technology,,2017,1444291271,8637220,764438512,183952189
Educational technology,,2018,4956758378,19248138,2909290633,595069470
Educational technology,,2019,902436750,23083884,437126557,361680101
Educational technology,,2020,7730032651,19421409,6283423613,1396218278
Educational technology,,2021,1710971434,125213979,704513879,562549144
Educational technology,,2022,344161272,95099978,12027466,111497296
"Energy, oil and gas",,2017,625514140,55211067,82816899,440540848
"Energy, oil and gas",,2018,3354894612,97459505,1120550870,1938496184
"Energy, oil and gas",,2019,1694145415,73672846,612580549,789873782
"Energy, oil and gas",,2020,2810505321,35185995,628440728,2013948995
"Energy, oil and gas",,2021,1865601123,147372877,177530435,1269212622
"Energy, oil and gas",,2022,1487149762,185258640,319406209,745179209
Entertainment,,2017,923252885,219675849,281439986,305960521
Entertainment,,2018,632851383,12612637,290916285,196439281
Entertainment,,2019,1286023888,129249689,155637340,791377101
Entertainment,,2020,786408557,41698546,354295053,147851041
Entertainment,,2021,3739408050,8809598,174251955,3182263442
Entertainment,,2022,804408782,160331685,170547096,431472870
Facial recognition,,2017,151974274,33163782,98359492,20450999
Facial recognition,,2018,1135611536,0,1043700346,37956117
Facial recognition,,2019,239606737,63864640,27824438,63198100
Facial recognition,,2020,428628301,104872209,282064476,41691616
Facial recognition,,2021,406100000,0,0,6100000
Facial recognition,,2022,62498395,0,0,62498395
Financial technology,,2017,2344769845,220566399,1503433470,427876788
Financial technology,,2018,4625875596,223428044,2468722003,1369445756
Financial technology,,2019,7472621947,332120920,2585267898,3965148753
Financial technology,,2020,3269791558,690423903,865858812,1564548827
Financial technology,,2021,7133528041,503174637,457814027,5209476610
Financial technology,,2022,5114007205,868080225,30369583,2991720037
Fitness and wellness,,2017,362743638,39285906,18675946,244551400
Fitness and wellness,,2018,1136678306,56966666,667611357,215396355
Fitness and wellness,,2019,868776525,46484432,643924687,137970686
