Entity,Code,Year,Mostly help,Neither,Refused - help/harm question,"Don't have an opinion, Don't know - help/harm question",Mostly harm
Afghanistan,AFG,2019,33.45164,2.1295474,,40.638863,23.779947
Afghanistan,AFG,2021,42.6,0.7,,31.9,24.8
Albania,ALB,2019,17.87037,0.7407407,0.09259259,32.87037,48.425926
Albania,ALB,2021,21.7,0.2,0.1,25.5,52.5
Algeria,DZA,2019,20.90909,1,0.18181819,23.90909,54
Algeria,DZA,2021,30.6,5.3,0.2,37.7,26.2
Argentina,ARG,2019,25.943396,0.754717,0.18867925,24.150944,48.962265
Argentina,ARG,2021,38.66134,0.4995005,0.2997003,28.271729,32.26773
Armenia,ARM,2019,23.796297,1.0185186,,21.944445,53.24074
Armenia,ARM,2021,18.263474,1.4970059,0.2994012,29.041916,50.898205
Australia,AUS,2019,42.472584,1.3958125,,14.755733,41.375874
Australia,AUS,2021,41.8,1,0.2,31.9,25.1
Austria,AUT,2019,40.3,1,,14,44.7
Austria,AUT,2021,47,4.6,,20.4,28
Bangladesh,BGD,2019,57.27612,0.9328358,0.37313432,22.66791,18.75
Bangladesh,BGD,2021,42.9,0.6,0.5,34.7,21.3
Belgium,BEL,2019,26.8,0.9,,13.2,59.1
Belgium,BEL,2021,39.76024,3.996004,0.2997003,24.075924,31.868132
Benin,BEN,2019,49.9,0.8,,14.6,34.7
Benin,BEN,2021,38.5,1.3,,22.8,37.4
Bolivia,BOL,2019,28.2,0.6,,22.8,48.4
Bolivia,BOL,2021,29.241516,1.2974052,0.998004,28.742516,39.72056
Bosnia and Herzegovina,BIH,2019,10.740741,0.7407407,0.09259259,24.444445,63.98148
Bosnia and Herzegovina,BIH,2021,24,1.9,0.1,29.9,44.1
Brazil,BRA,2019,25.648148,1.0185186,,20.833334,52.5
Brazil,BRA,2021,41.93227,0.2988048,,27.091633,30.67729
Bulgaria,BGR,2019,34.62963,2.2222223,,28.425926,34.72222
Bulgaria,BGR,2021,40.47619,1.5873016,0.09920635,25,32.837303
Burkina Faso,BFA,2019,43.2,0.3,0.2,22.9,33.4
Burkina Faso,BFA,2021,34.2,1,,21.5,43.3
Cambodia,KHM,2019,17,0.3,,63.8,18.9
Cambodia,KHM,2021,21.9,0.7,,42.5,34.9
Cameroon,CMR,2019,40.4,0.7,0.3,16.6,42
Cameroon,CMR,2021,30.3,1.8,0.2,23.2,44.5
Canada,CAN,2019,48.34308,0.19493178,0.19493178,10.42885,40.838207
Canada,CAN,2021,39.70297,0.7920792,0.0990099,30.49505,28.91089
Chile,CHL,2019,23.207546,0.6603774,0.5660377,20.754717,54.81132
Chile,CHL,2021,27.672327,0.8991009,0.2997003,20.27972,50.84915
China,CHN,2019,57.346992,1.024535,0.21569157,32.65031,8.762469
China,CHN,2021,61,4.3142858,0.057142857,21.742857,12.885715
Colombia,COL,2019,19.4,0.3,0.6,28.5,51.2
Colombia,COL,2021,23.7,,0.2,40.7,35.4
Costa Rica,CRI,2019,27.6,0.4,0.2,18.7,53.1
Costa Rica,CRI,2021,33.8,0.3,0.8,25.1,40
Cote d'Ivoire,CIV,2019,30.2,0.3,0.2,25.7,43.6
Cote d'Ivoire,CIV,2021,35.1,1.9,,15.6,47.4
Croatia,HRV,2019,28.981482,0.6481481,,23.148148,47.22222
Croatia,HRV,2021,32.701893,3.788634,0.0997009,20.638086,42.771687
Cyprus,CYP,2019,27.056492,0.5946482,,19.52428,52.824577
Cyprus,CYP,2021,33.597622,2.2794847,,17.938553,46.18434
Denmark,DNK,2019,59.9,1.7,,10.2,28.2
Denmark,DNK,2021,61.7,0.2,,22.1,16
Dominican Republic,DOM,2019,27.829313,0.18552876,0.3710575,27.458256,44.155846
Dominican Republic,DOM,2021,20.07992,0.1998002,0.999001,53.646355,25.074924
Ecuador,ECU,2019,23.8,0.7,0.3,18.1,57.1
Ecuador,ECU,2021,26.673326,0.1998002,0.8991009,35.864136,36.363636
Egypt,EGY,2019,27.196262,1.4018692,,43.831776,27.570093
Egypt,EGY,2021,21.471172,4.17495,0.3976143,36.67992,37.27634
El Salvador,SLV,2019,21.574074,0.09259259,0.8333333,25.277779,52.22222
El Salvador,SLV,2021,23.676323,0.8991009,1.0989012,33.066933,41.25874
Estonia,EST,2019,37.22222,6.6666665,,20.833334,35.27778
Estonia,EST,2021,58.747517,2.1868787,,18.489065,20.57654
Finland,FIN,2019,54.8,0.8,,19.7,24.7
Finland,FIN,2021,72.2664,0.9940358,,11.530815,15.208748
France,FRA,2019,27.7,0.4,,17.2,54.7
France,FRA,2021,39.7,5,,19.1,36.2
Gabon,GAB,2019,24.672897,1.682243,0.18691589,15.700934,57.757008
Gabon,GAB,2021,20,2.3,,19.4,58.3
Georgia,GEO,2019,16.944445,1.2037038,0.18518518,20.462963,61.203705
Georgia,GEO,2021,17.082916,0.6993007,0.1998002,36.463535,45.554447
Germany,DEU,2019,43.3,6.4,,10.9,39.4
Germany,DEU,2021,59.8,10.4,,11.8,18
Ghana,GHA,2019,38.118813,2.772277,0.1980198,23.663366,35.247524
Ghana,GHA,2021,29,1.3,0.1,22.7,46.9
Greece,GRC,2019,23.148148,2.3148148,0.09259259,18.055555,56.38889
Greece,GRC,2021,47.9,1.4,0.1,20.9,29.7
Guinea,GIN,2019,45.08772,1.1403508,0.9649123,25.175438,27.631578
Guinea,GIN,2021,41.2,1.4,0.3,31.9,25.2
Honduras,HND,2019,18.1,1.5,1.1,36,43.3
Honduras,HND,2021,15.522388,0.6965174,0.29850745,41.59204,41.89055
Hong Kong,HKG,2019,54.69062,1.2974052,0.3992016,16.766466,26.846308
Hong Kong,HKG,2021,46.41434,0.1992032,0.0996016,38.54582,14.741035
Hungary,HUN,2019,36.296295,3.2407408,0.18518518,22.685184,37.592594
Hungary,HUN,2021,51.3,2.8,,16.4,29.5
India,IND,2019,28.931004,4.619485,1.0660349,32.632515,32.75096
India,IND,2021,32.5,1.7666667,0.3,29.6,35.833332
Indonesia,IDN,2019,37.202927,0.36563072,0.36563072,36.471664,25.59415
Indonesia,IDN,2021,21.542803,0.752587,0.09407338,44.120415,33.490124
Iran,IRN,2019,34.82587,5.273632,0.19900498,35.422886,24.278606
Iran,IRN,2021,24.62908,0.69238377,0.19782394,62.8091,11.671613
Iraq,IRQ,2019,45.761166,4.1020966,,18.23154,31.905195
Iraq,IRQ,2021,46.207584,1.6966068,,12.974051,39.121758
Ireland,IRL,2019,46.2,1.2,1.2,15.5,35.9
Ireland,IRL,2021,48.2,3.9,,27.1,20.8
Israel,ISR,2019,43.196346,3.0136986,,18.72146,35.068493
Israel,ISR,2021,39.16084,1.0989012,,29.47053,30.26973
Italy,ITA,2019,45.4,0.4,,7.5,46.7
Italy,ITA,2021,50.2,7.8,,9.7,32.3
Jamaica,JAM,2019,17.56487,1.3972056,,25.349302,55.68862
Jamaica,JAM,2021,11.485148,0.3960396,3.5643563,54.653465,29.90099
Japan,JPN,2019,60.474308,5.3359685,,16.798418,17.391304
Japan,JPN,2021,61.48515,5.0495048,,20.29703,13.168317
Jordan,JOR,2019,33.766235,0.8991009,,14.685315,50.64935
Jordan,JOR,2021,32.837303,6.25,,17.162699,43.75
Kazakhstan,KAZ,2019,33.88889,1.1111112,0.2777778,24.166666,40.555557
Kazakhstan,KAZ,2021,27.5,2.1,1.7,44.3,24.4
Kenya,KEN,2019,31.268732,0.5994006,0.2997003,20.679321,47.152847
Kenya,KEN,2021,18.94317,0.5982054,,22.931206,57.527416
Kosovo,OWID_KOS,2019,28.216911,0.18382353,0.09191176,15.625,55.882355
Kosovo,OWID_KOS,2021,25.5,0.7,0.5,22.3,51
Kyrgyzstan,KGZ,2019,23.981482,0.8333333,0.09259259,25.092592,50
Kyrgyzstan,KGZ,2021,28.371628,0.999001,,28.871128,41.758244
Laos,LAO,2019,34.57944,0.28037384,,44.766354,20.373833
Laos,LAO,2021,27.9,0.3,0.4,47.6,23.8
Latvia,LVA,2019,35.555557,1.8518518,,23.425926,39.166668
Latvia,LVA,2021,47.109825,3.9499037,,23.217726,25.722544
Lebanon,LBN,2019,21.25,3.0769231,,15.961538,59.71154
